# Intensity Error [H,H,0] [0,0,L] DeltaE [H,-H,0]
#  shape: 12x50x1x1
0.000000e+00 0.000000e+00 2.125000e-01 5.000000e-02 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.125000e-01 1.500000e-01 1.075000e+00 0.000000e+00
1.511034e-04 8.723958e-05 2.125000e-01 2.500000e-01 1.075000e+00 0.000000e+00
1.547243e-04 8.933012e-05 2.125000e-01 3.500000e-01 1.075000e+00 0.000000e+00
1.590586e-04 9.183252e-05 2.125000e-01 4.500000e-01 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.125000e-01 5.500000e-01 1.075000e+00 0.000000e+00
5.063873e-04 1.687972e-04 2.125000e-01 6.500000e-01 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.125000e-01 7.500000e-01 1.075000e+00 0.000000e+00
3.623193e-04 1.479164e-04 2.125000e-01 8.500000e-01 1.075000e+00 0.000000e+00
3.802653e-04 1.552427e-04 2.125000e-01 9.500000e-01 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.125000e-01 1.050000e+00 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.125000e-01 1.150000e+00 1.075000e+00 0.000000e+00
6.376411e-04 2.125485e-04 2.125000e-01 1.250000e+00 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.125000e-01 1.350000e+00 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.125000e-01 1.450000e+00 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.125000e-01 1.550000e+00 1.075000e+00 0.000000e+00
4.059183e-04 1.657165e-04 2.125000e-01 1.650000e+00 1.075000e+00 0.000000e+00
2.054496e-04 1.186164e-04 2.125000e-01 1.750000e+00 1.075000e+00 0.000000e+00
2.142172e-04 1.236784e-04 2.125000e-01 1.850000e+00 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.125000e-01 1.950000e+00 1.075000e+00 0.000000e+00
2.254676e-04 1.301738e-04 2.125000e-01 2.050000e+00 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.125000e-01 2.150000e+00 1.075000e+00 0.000000e+00
2.392118e-04 1.381090e-04 2.125000e-01 2.250000e+00 1.075000e+00 0.000000e+00
4.929491e-04 2.012468e-04 2.125000e-01 2.350000e+00 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.125000e-01 2.450000e+00 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.125000e-01 2.550000e+00 1.075000e+00 0.000000e+00
5.345626e-04 2.182345e-04 2.125000e-01 2.650000e+00 1.075000e+00 0.000000e+00
2.731154e-04 1.576833e-04 2.125000e-01 2.750000e+00 1.075000e+00 0.000000e+00
2.838544e-04 1.638834e-04 2.125000e-01 2.850000e+00 1.075000e+00 0.000000e+00
2.085546e-03 4.551094e-04 2.125000e-01 2.950000e+00 1.075000e+00 0.000000e+00
1.331600e-03 3.844014e-04 2.125000e-01 3.050000e+00 1.075000e+00 0.000000e+00
1.490538e-03 4.302818e-04 2.125000e-01 3.150000e+00 1.075000e+00 0.000000e+00
1.145400e-03 3.818002e-04 2.125000e-01 3.250000e+00 1.075000e+00 0.000000e+00
3.864278e-04 2.231042e-04 2.125000e-01 3.350000e+00 1.075000e+00 0.000000e+00
3.928141e-04 2.267913e-04 2.125000e-01 3.450000e+00 1.075000e+00 0.000000e+00
3.944611e-04 2.277422e-04 2.125000e-01 3.550000e+00 1.075000e+00 0.000000e+00
3.968386e-04 2.291148e-04 2.125000e-01 3.650000e+00 1.075000e+00 0.000000e+00
4.038053e-04 2.331371e-04 2.125000e-01 3.750000e+00 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.125000e-01 3.850000e+00 1.075000e+00 0.000000e+00
4.156570e-04 2.399797e-04 2.125000e-01 3.950000e+00 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.125000e-01 4.050000e+00 1.075000e+00 0.000000e+00
8.336112e-04 3.403205e-04 2.125000e-01 4.150000e+00 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.125000e-01 4.250000e+00 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.125000e-01 4.350000e+00 1.075000e+00 0.000000e+00
4.257608e-04 2.458131e-04 2.125000e-01 4.450000e+00 1.075000e+00 0.000000e+00
8.292584e-04 3.385435e-04 2.125000e-01 4.550000e+00 1.075000e+00 0.000000e+00
8.389675e-04 3.425077e-04 2.125000e-01 4.650000e+00 1.075000e+00 0.000000e+00
8.346510e-04 3.407469e-04 2.125000e-01 4.750000e+00 1.075000e+00 0.000000e+00
4.099202e-04 2.366676e-04 2.125000e-01 4.850000e+00 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.125000e-01 4.950000e+00 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.375000e-01 5.000000e-02 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.375000e-01 1.500000e-01 1.075000e+00 0.000000e+00
6.303602e-04 2.101222e-04 2.375000e-01 2.500000e-01 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.375000e-01 3.500000e-01 1.075000e+00 0.000000e+00
5.491545e-04 1.830519e-04 2.375000e-01 4.500000e-01 1.075000e+00 0.000000e+00
1.856623e-04 1.071922e-04 2.375000e-01 5.500000e-01 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.375000e-01 6.500000e-01 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.375000e-01 7.500000e-01 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.375000e-01 8.500000e-01 1.075000e+00 0.000000e+00
2.064323e-04 1.191837e-04 2.375000e-01 9.500000e-01 1.075000e+00 0.000000e+00
2.142752e-04 1.237119e-04 2.375000e-01 1.050000e+00 1.075000e+00 0.000000e+00
2.209328e-04 1.275556e-04 2.375000e-01 1.150000e+00 1.075000e+00 0.000000e+00
2.288748e-04 1.321409e-04 2.375000e-01 1.250000e+00 1.075000e+00 0.000000e+00
2.373579e-04 1.370387e-04 2.375000e-01 1.350000e+00 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.375000e-01 1.450000e+00 1.075000e+00 0.000000e+00
2.501616e-04 1.444309e-04 2.375000e-01 1.550000e+00 1.075000e+00 0.000000e+00
7.369623e-04 2.456551e-04 2.375000e-01 1.650000e+00 1.075000e+00 0.000000e+00
2.311322e-04 1.334443e-04 2.375000e-01 1.750000e+00 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.375000e-01 1.850000e+00 1.075000e+00 0.000000e+00
4.544914e-04 1.855490e-04 2.375000e-01 1.950000e+00 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.375000e-01 2.050000e+00 1.075000e+00 0.000000e+00
2.418512e-04 1.396328e-04 2.375000e-01 2.150000e+00 1.075000e+00 0.000000e+00
2.493725e-04 1.439753e-04 2.375000e-01 2.250000e+00 1.075000e+00 0.000000e+00
2.493547e-04 1.439650e-04 2.375000e-01 2.350000e+00 1.075000e+00 0.000000e+00
2.551438e-04 1.473073e-04 2.375000e-01 2.450000e+00 1.075000e+00 0.000000e+00
1.860407e-03 4.059768e-04 2.375000e-01 2.550000e+00 1.075000e+00 0.000000e+00
5.981555e-03 7.362868e-04 2.375000e-01 2.650000e+00 1.075000e+00 0.000000e+00
1.531450e-02 1.192243e-03 2.375000e-01 2.750000e+00 1.075000e+00 0.000000e+00
2.077956e-02 1.404167e-03 2.375000e-01 2.850000e+00 1.075000e+00 0.000000e+00
2.727415e-02 1.624171e-03 2.375000e-01 2.950000e+00 1.075000e+00 0.000000e+00
2.954966e-02 1.706071e-03 2.375000e-01 3.050000e+00 1.075000e+00 0.000000e+00
2.861702e-02 1.741596e-03 2.375000e-01 3.150000e+00 1.075000e+00 0.000000e+00
2.108534e-02 1.598489e-03 2.375000e-01 3.250000e+00 1.075000e+00 0.000000e+00
8.918141e-03 1.073632e-03 2.375000e-01 3.350000e+00 1.075000e+00 0.000000e+00
6.254617e-03 9.027945e-04 2.375000e-01 3.450000e+00 1.075000e+00 0.000000e+00
3.177212e-03 6.485544e-04 2.375000e-01 3.550000e+00 1.075000e+00 0.000000e+00
1.200215e-03 4.000808e-04 2.375000e-01 3.650000e+00 1.075000e+00 0.000000e+00
8.028102e-04 3.277466e-04 2.375000e-01 3.750000e+00 1.075000e+00 0.000000e+00
1.223894e-03 4.079697e-04 2.375000e-01 3.850000e+00 1.075000e+00 0.000000e+00
1.233329e-03 4.111119e-04 2.375000e-01 3.950000e+00 1.075000e+00 0.000000e+00
1.245397e-03 4.151331e-04 2.375000e-01 4.050000e+00 1.075000e+00 0.000000e+00
8.306278e-04 3.391035e-04 2.375000e-01 4.150000e+00 1.075000e+00 0.000000e+00
8.349553e-04 3.408718e-04 2.375000e-01 4.250000e+00 1.075000e+00 0.000000e+00
4.186318e-04 2.416972e-04 2.375000e-01 4.350000e+00 1.075000e+00 0.000000e+00
4.135097e-04 2.387400e-04 2.375000e-01 4.450000e+00 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.375000e-01 4.550000e+00 1.075000e+00 0.000000e+00
4.136924e-04 2.388454e-04 2.375000e-01 4.650000e+00 1.075000e+00 0.000000e+00
8.245956e-04 3.366440e-04 2.375000e-01 4.750000e+00 1.075000e+00 0.000000e+00
8.199659e-04 3.347502e-04 2.375000e-01 4.850000e+00 1.075000e+00 0.000000e+00
8.033107e-04 3.279544e-04 2.375000e-01 4.950000e+00 1.075000e+00 0.000000e+00
nan nan 2.625000e-01 5.000000e-02 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.625000e-01 1.500000e-01 1.075000e+00 0.000000e+00
2.445538e-03 7.059683e-04 2.625000e-01 2.500000e-01 1.075000e+00 0.000000e+00
1.700041e-03 3.709834e-04 2.625000e-01 3.500000e-01 1.075000e+00 0.000000e+00
2.274080e-03 4.151938e-04 2.625000e-01 4.500000e-01 1.075000e+00 0.000000e+00
6.890948e-04 2.296986e-04 2.625000e-01 5.500000e-01 1.075000e+00 0.000000e+00
2.992131e-03 4.791305e-04 2.625000e-01 6.500000e-01 1.075000e+00 0.000000e+00
6.963880e-04 2.321329e-04 2.625000e-01 7.500000e-01 1.075000e+00 0.000000e+00
1.409835e-03 3.323034e-04 2.625000e-01 8.500000e-01 1.075000e+00 0.000000e+00
7.173081e-04 2.391031e-04 2.625000e-01 9.500000e-01 1.075000e+00 0.000000e+00
2.427864e-04 1.401728e-04 2.625000e-01 1.050000e+00 1.075000e+00 0.000000e+00
4.918129e-04 2.007864e-04 2.625000e-01 1.150000e+00 1.075000e+00 0.000000e+00
2.488201e-04 1.436564e-04 2.625000e-01 1.250000e+00 1.075000e+00 0.000000e+00
2.550071e-04 1.472284e-04 2.625000e-01 1.350000e+00 1.075000e+00 0.000000e+00
2.614735e-04 1.509618e-04 2.625000e-01 1.450000e+00 1.075000e+00 0.000000e+00
7.978745e-04 2.659585e-04 2.625000e-01 1.550000e+00 1.075000e+00 0.000000e+00
5.446949e-04 2.223710e-04 2.625000e-01 1.650000e+00 1.075000e+00 0.000000e+00
1.116367e-03 3.222682e-04 2.625000e-01 1.750000e+00 1.075000e+00 0.000000e+00
7.957290e-04 2.652495e-04 2.625000e-01 1.850000e+00 1.075000e+00 0.000000e+00
7.393730e-04 2.464586e-04 2.625000e-01 1.950000e+00 1.075000e+00 0.000000e+00
1.204719e-03 3.110599e-04 2.625000e-01 2.050000e+00 1.075000e+00 0.000000e+00
2.981547e-03 4.969271e-04 2.625000e-01 2.150000e+00 1.075000e+00 0.000000e+00
7.349634e-03 7.879725e-04 2.625000e-01 2.250000e+00 1.075000e+00 0.000000e+00
1.008770e-02 9.326202e-04 2.625000e-01 2.350000e+00 1.075000e+00 0.000000e+00
2.297314e-02 1.422020e-03 2.625000e-01 2.450000e+00 1.075000e+00 0.000000e+00
3.434706e-02 1.752787e-03 2.625000e-01 2.550000e+00 1.075000e+00 0.000000e+00
4.625918e-02 2.054464e-03 2.625000e-01 2.650000e+00 1.075000e+00 0.000000e+00
6.164756e-02 2.405129e-03 2.625000e-01 2.750000e+00 1.075000e+00 0.000000e+00
6.208672e-02 2.433398e-03 2.625000e-01 2.850000e+00 1.075000e+00 0.000000e+00
7.274208e-02 2.661526e-03 2.625000e-01 2.950000e+00 1.075000e+00 0.000000e+00
6.648200e-02 2.564629e-03 2.625000e-01 3.050000e+00 1.075000e+00 0.000000e+00
6.661395e-02 2.581266e-03 2.625000e-01 3.150000e+00 1.075000e+00 0.000000e+00
5.378936e-02 2.367970e-03 2.625000e-01 3.250000e+00 1.075000e+00 0.000000e+00
6.289336e-02 2.721696e-03 2.625000e-01 3.350000e+00 1.075000e+00 0.000000e+00
4.167611e-02 2.337108e-03 2.625000e-01 3.450000e+00 1.075000e+00 0.000000e+00
2.774349e-02 1.914508e-03 2.625000e-01 3.550000e+00 1.075000e+00 0.000000e+00
3.277748e-02 2.089847e-03 2.625000e-01 3.650000e+00 1.075000e+00 0.000000e+00
1.421574e-02 1.387325e-03 2.625000e-01 3.750000e+00 1.075000e+00 0.000000e+00
7.325318e-03 9.968603e-04 2.625000e-01 3.850000e+00 1.075000e+00 0.000000e+00
